AEX,ATHEXCOMP,ATX,BEL20,BUX,CAC,DAX,FTSE,FTSE250,FTSEMIB,IBEX35,ISEQ,OBX,OMXC20,OMXCHPI,OMXS30,PSI20,PX,RTS,SMI,AMEX,BMV,BOVESPA,DJI,DJT,DJU,MERVAL,NASDAQ,NASDAQINTERNET,RUSSELL2000,SASEIPA2000,SP500,TSX,BIST100,BSHARE,HANGSENG,IDXCOMP,KLCI,KOSPI,NIFTY50,NIKKEI,SENSEX,SSECOMP,STI-INEDX,TAIEX,TASI,TOPIX,ALLORDS
614.46,779.04,2632.17,3649.74,41263.67,5507.55,13114.3,6546.75,19622.15,21702.16,8063.1,7314.79,829.33,1398.38,10706.21,1891.22,4742.67,968.51,1412.88,10391.76,2714.23,43612.31,115128.0,30046.37,12672.38,855.1,53822.44,12377.87,1354.43,1911.7,4085.89,3663.46,17548.92,1370.7,256.82,26505.87,5938.33,1684.58,2770.06,13513.85,26652.52,46099.01,3347.19,2821.7,14261.69,8643.97,1782.01,6886.4
617.57,800.14,2682.18,3696.8,41713.74,5567.83,13260.5,6569.53,19878.68,21953.5,8201.0,7455.73,833.83,1399.5,10749.9,1898.0,4783.11,980.28,1422.0,10383.87,2714.23,43612.31,115128.0,30046.37,12672.38,855.1,53822.44,12377.87,1354.43,1911.7,4085.89,3663.46,17548.92,1390.08,256.82,26389.52,6012.52,1662.74,2762.2,13558.15,26732.44,46253.46,3369.12,2861.4,14211.05,8645.33,1790.52,6900.3
616.84,784.45,2691.81,3695.3,42173.98,5534.8,13315.95,6490.09,19774.56,21778.5,8128.0,7384.59,827.65,1395.17,10755.33,1888.21,4745.59,986.25,1393.53,10331.2,2689.07,43569.84,114611.12,29861.55,12382.97,852.81,53034.13,12440.04,1349.27,1913.86,4052.84,3647.49,17387.4,1394.75,256.82,26207.29,6010.13,1674.02,2756.82,13567.85,26687.84,46263.17,3367.23,2856.72,14068.52,8659.37,1782.05,6866.7
621.86,792.31,2721.67,3663.95,41911.27,5547.68,13565.98,6570.91,20096.56,21986.52,8139.5,7457.07,832.1,1429.97,10808.6,1892.26,4796.08,998.82,1400.05,10456.78,2721.61,43760.74,118013.41,30220.98,12539.76,862.72,53205.99,12685.38,1377.18,1958.75,4111.42,3709.84,17580.4,1392.45,256.82,26460.29,6118.4,1681.41,2771.79,13682.7,26757.4,46666.46,3366.98,2872.8,14304.46,8721.18,1786.83,6916.7
624.75,790.77,2723.92,3677.09,42088.03,5549.46,13667.25,6551.06,20296.04,22012.07,8153.4,7423.9,832.78,1431.39,10772.88,1885.18,4825.53,1009.51,1419.22,10540.36,2720.96,44437.49,118463.25,30241.79,12558.27,867.7,53574.93,12720.91,1390.56,1963.52,4162.72,3713.28,17608.87,1399.36,256.82,26678.38,6113.38,1674.35,2770.43,13740.7,26806.67,46890.34,3404.87,2858.02,14258.93,8711.58,1792.58,7000.1
625.25,800.06,2713.69,3657.33,41614.92,5527.84,13630.51,6529.18,20116.29,21976.12,8037.4,7423.99,839.39,1454.79,10793.56,1886.88,4763.03,1009.23,1402.5,10523.86,2715.33,44344.83,118575.59,30151.49,12543.05,865.58,53338.9,12757.63,1391.44,1990.77,4221.05,3703.5,17619.5,1408.32,256.82,26498.6,6104.32,1652.49,2772.18,13760.55,26763.39,46960.69,3394.9,2848.98,14249.96,8711.58,1793.24,6924.1
606.22,760.53,2619.71,3529.9,40607.47,5340.82,13111.8,6350.15,19542.87,21261.5,7700.0,7226.53,817.12,1444.6,10524.31,1853.02,4584.51,981.05,1330.78,10319.29,2719.43,43873.81,118023.67,30179.05,12566.07,857.26,52346.77,12755.64,1394.45,1969.99,4210.69,3709.41,17534.63,1386.27,256.82,26306.68,6165.63,1647.89,2778.65,13328.4,26714.42,45553.96,3420.57,2846.52,14384.96,8524.69,1789.05,6920.0
617.5,780.21,2707.52,3607.72,41049.52,5466.86,13418.11,6453.16,19950.72,21844.33,7934.2,7347.57,827.83,1452.58,10654.48,1863.28,4726.08,1001.9,1351.43,10403.37,2692.59,42601.71,116636.18,30015.51,12459.81,842.22,50406.93,12807.92,1400.61,1989.88,4190.03,3687.26,17552.46,1404.97,256.82,26119.25,6023.29,1631.92,2733.68,13466.3,26436.39,46006.69,3356.78,2827.32,14177.46,8680.45,1761.12,6845.5
622.42,787.48,2737.12,3655.87,41197.14,5527.59,13587.23,6495.75,20297.76,22130.18,8073.6,7474.66,842.09,1444.69,10720.37,1867.99,4825.28,1008.78,1366.76,10411.92,2712.91,43578.69,117970.14,30275.89,12546.47,843.9,51337.88,12828.0,1396.44,2006.36,4152.16,3708.1,17629.16,1417.66,256.82,26343.1,6008.71,1647.5,2759.82,13601.1,26524.79,46444.18,3382.32,2833.4,14223.09,8720.67,1765.21,6892.6
629.14,809.22,2778.23,3671.11,41733.11,5611.79,13761.38,6602.65,20897.59,22259.35,8174.8,7552.9,856.19,1475.07,10949.62,1893.06,4931.62,1030.62,1398.48,10682.04,2733.0,44628.85,119088.66,30373.23,12511.94,853.66,51256.23,12846.36,1372.28,1962.96,4194.35,3734.3,17584.28,1459.69,256.82,26568.49,6036.18,1634.99,2820.51,13932.6,27568.15,47613.08,3379.04,2848.14,14472.05,8746.76,1819.18,6962.1
